documento,categoria,prioridade,responsavel,fonte_manuais,arquivo_local,codigo_interno,uso_do_formulario,acesso_requerido,local_vigente,local_arquivo_morto,retencao_minima,drive_doc_id,drive_doc_url,hyperlink_formula,status,revisao,vigencia,ultima_atualizacao,observacoes
Matriz de treinamento e elegibilidade,Operações,Alta,Treinamento,"PTO 1.7.1, PTO 2",135/document_pack/11_matriz_de_treinamento_e_elegibilidade.md,FRM-EXT-011,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,60 meses,1hL8uLpWH-4HE3XwaY_Ud2PT6B6UBOGKUdoBhOHwdLh8,https://docs.google.com/document/d/1hL8uLpWH-4HE3XwaY_Ud2PT6B6UBOGKUdoBhOHwdLh8/edit,"=HYPERLINK(""https://docs.google.com/document/d/1hL8uLpWH-4HE3XwaY_Ud2PT6B6UBOGKUdoBhOHwdLh8/edit"",""Abrir"")",Não iniciado,,,,
Lista de provedores/instrutores/verificadores,Operações,Alta,Treinamento,"PTO 1.5, PTO 2.5, MGO 4.5",135/document_pack/12_lista_de_provedores_instrutores_verificadores.md,FRM-EXT-012,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1cMBcC37kH_h0heM6N8hgoiCxuZOO5-PeYRbd-VrEQm0,https://docs.google.com/document/d/1cMBcC37kH_h0heM6N8hgoiCxuZOO5-PeYRbd-VrEQm0/edit,"=HYPERLINK(""https://docs.google.com/document/d/1cMBcC37kH_h0heM6N8hgoiCxuZOO5-PeYRbd-VrEQm0/edit"",""Abrir"")",Não iniciado,,,,
Dossiê de provedores e contratos de treinamento,Operações,Média,GR + Treinamento,"PTO 1.7.2, PTO 2.5",135/document_pack/13_dossi_de_provedores_e_contratos_de_treinamento.md,FRM-EXT-013,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,60 meses após término contratual,12QwMh9Kb2tKxgnQACjcOgmiM7yqBHd-q_3NaGRCJDGs,https://docs.google.com/document/d/12QwMh9Kb2tKxgnQACjcOgmiM7yqBHd-q_3NaGRCJDGs/edit,"=HYPERLINK(""https://docs.google.com/document/d/12QwMh9Kb2tKxgnQACjcOgmiM7yqBHd-q_3NaGRCJDGs/edit"",""Abrir"")",Não iniciado,,,,
Registro de treinamento individual,Operações,Alta,Treinamento,"PTO 1.7, PTO 1.7.2",135/document_pack/14_registro_de_treinamento_individual.md,FRM-EXT-014,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,60 meses,1BBcNAwgX05Oe66TxMGDY5WFClQ0Ibb5Vp6fExF2j53U,https://docs.google.com/document/d/1BBcNAwgX05Oe66TxMGDY5WFClQ0Ibb5Vp6fExF2j53U/edit,"=HYPERLINK(""https://docs.google.com/document/d/1BBcNAwgX05Oe66TxMGDY5WFClQ0Ibb5Vp6fExF2j53U/edit"",""Abrir"")",Não iniciado,,,,
Escala planejada e escala realizada,Operações,Alta,DOPS,MGO 5.3,135/document_pack/15_escala_planejada_e_escala_realizada.md,FRM-EXT-015,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1r9r04KwpA89GxPnbF3MBAyXggE9vQoIDpN0c-XTA1u8,https://docs.google.com/document/d/1r9r04KwpA89GxPnbF3MBAyXggE9vQoIDpN0c-XTA1u8/edit,"=HYPERLINK(""https://docs.google.com/document/d/1r9r04KwpA89GxPnbF3MBAyXggE9vQoIDpN0c-XTA1u8/edit"",""Abrir"")",Não iniciado,,,,
Controle de jornada e descanso,Operações,Alta,DOPS,"MGO 5.2, MGO 5.7",135/document_pack/16_controle_de_jornada_e_descanso.md,FRM-EXT-016,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,60 meses,19GipMPNx41LGqoanoOfxZ_34m8aCKJDdNOgUpY_UCvg,https://docs.google.com/document/d/19GipMPNx41LGqoanoOfxZ_34m8aCKJDdNOgUpY_UCvg/edit,"=HYPERLINK(""https://docs.google.com/document/d/19GipMPNx41LGqoanoOfxZ_34m8aCKJDdNOgUpY_UCvg/edit"",""Abrir"")",Não iniciado,,,,
Registro de extrapolação de jornada,Operações,Média,GR,MGO 5.5,135/document_pack/17_registro_de_extrapolao_de_jornada.md,FRM-EXT-017,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,60 meses,1xkbD6og_BdY9TZPbwFWFxtaOYr4jDNfRzCZaaE-RMXo,https://docs.google.com/document/d/1xkbD6og_BdY9TZPbwFWFxtaOYr4jDNfRzCZaaE-RMXo/edit,"=HYPERLINK(""https://docs.google.com/document/d/1xkbD6og_BdY9TZPbwFWFxtaOYr4jDNfRzCZaaE-RMXo/edit"",""Abrir"")",Não iniciado,,,,
Registro de ocorrências de fadiga,Operações,Média,DOPS,"MGO 5.6, MGO 5.7, Anexo 13-D",135/document_pack/18_registro_de_ocorrncias_de_fadiga.md,FRM-EXT-018,"Suporte à liberação, execução e registro de missão",DISPATCH + BASE,Drive/SGQ/Documentos_Controlados/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,60 meses,1VQRrP5GrjFtXZ4yE3E2CUKUC9GsqM9g2gx4CmYZvk_E,https://docs.google.com/document/d/1VQRrP5GrjFtXZ4yE3E2CUKUC9GsqM9g2gx4CmYZvk_E/edit,"=HYPERLINK(""https://docs.google.com/document/d/1VQRrP5GrjFtXZ4yE3E2CUKUC9GsqM9g2gx4CmYZvk_E/edit"",""Abrir"")",Não iniciado,,,,
Registro de liberação/despacho simplificado,Operações,Alta,DOPS,"MGO 3.3.5, MGO 3.7, Anexo 13-C",135/document_pack/19_registro_de_liberao_despacho_simplificado.md,FRM-EXT-019,"Suporte à liberação, execução e registro de missão",DISPATCH + PILOTO (consulta),Drive/OPS/Formularios_Vigentes + copia a bordo (quando aplicável),"Drive/OPS/Arquivo_Morto + Base (via física, se aplicável)",60 meses,10FJOzUTrHmnD4GSc00esoX5uroKv_6i-tisWhYX10qw,https://docs.google.com/document/d/10FJOzUTrHmnD4GSc00esoX5uroKv_6i-tisWhYX10qw/edit,"=HYPERLINK(""https://docs.google.com/document/d/10FJOzUTrHmnD4GSc00esoX5uroKv_6i-tisWhYX10qw/edit"",""Abrir"")",Não iniciado,,,,
Registro de decisões operacionais em missão,Operações,Alta,DOPS,"MGO 3.4, MGO 3.7",135/document_pack/20_registro_de_decises_operacionais_em_misso.md,FRM-EXT-020,"Suporte à liberação, execução e registro de missão",DISPATCH + PILOTO (consulta),Drive/OPS/Formularios_Vigentes + copia a bordo (quando aplicável),"Drive/OPS/Arquivo_Morto + Base (via física, se aplicável)",36 meses,1TgGr_uk6zBsguLoc4MV8XOP14l0uCNH0pKx2x5irtbo,https://docs.google.com/document/d/1TgGr_uk6zBsguLoc4MV8XOP14l0uCNH0pKx2x5irtbo/edit,"=HYPERLINK(""https://docs.google.com/document/d/1TgGr_uk6zBsguLoc4MV8XOP14l0uCNH0pKx2x5irtbo/edit"",""Abrir"")",Não iniciado,,,,
Lista de passageiros,Operações,Alta,PIC + Base,"MGO 6.4, Anexo 13-A",135/document_pack/21_lista_de_passageiros.md,FRM-EXT-021,"Suporte à liberação, execução e registro de missão",PILOTO + DISPATCH + BASE,Drive/OPS/Formularios_Vigentes + copia a bordo (quando aplicável),"Drive/OPS/Arquivo_Morto + Base (via física, se aplicável)",60 meses,13WIzQKFJHcA44ZS5AjSSeufIXYihajLAu5UX6SnRlMc,https://docs.google.com/document/d/13WIzQKFJHcA44ZS5AjSSeufIXYihajLAu5UX6SnRlMc/edit,"=HYPERLINK(""https://docs.google.com/document/d/13WIzQKFJHcA44ZS5AjSSeufIXYihajLAu5UX6SnRlMc/edit"",""Abrir"")",Não iniciado,,,,
Cartão de instruções ao passageiro (modelo controlado),Operações,Média,DOPS,"MGO 6.5, Anexo 13-F",135/document_pack/22_carto_de_instrues_ao_passageiro.md,FRM-EXT-022,"Suporte à liberação, execução e registro de missão",PILOTO + DISPATCH + BASE,Drive/OPS/Formularios_Vigentes + copia a bordo (quando aplicável),"Drive/OPS/Arquivo_Morto + Base (via física, se aplicável)",36 meses,1A4iUojtKZl3kXQATwIRmxcJM_jFA-G-lRSpehF66RWg,https://docs.google.com/document/d/1A4iUojtKZl3kXQATwIRmxcJM_jFA-G-lRSpehF66RWg/edit,"=HYPERLINK(""https://docs.google.com/document/d/1A4iUojtKZl3kXQATwIRmxcJM_jFA-G-lRSpehF66RWg/edit"",""Abrir"")",Não iniciado,,,,
Lista controlada de aeronaves,Aeronave,Alta,DOPS + Manutenção,"MGO 1.4, SOP 1.6.1, MGM 1.8",135/document_pack/23_lista_controlada_de_aeronaves.md,FRM-EXT-023,Controle técnico-operacional da aeronave,DISPATCH + MANUTENÇÃO,Drive/OPS/Aeronaves/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1gVHZRcQgQ7ztKH4iKikib1m17_fTsRRLO5hb27hVNA0,https://docs.google.com/document/d/1gVHZRcQgQ7ztKH4iKikib1m17_fTsRRLO5hb27hVNA0/edit,"=HYPERLINK(""https://docs.google.com/document/d/1gVHZRcQgQ7ztKH4iKikib1m17_fTsRRLO5hb27hVNA0/edit"",""Abrir"")",Não iniciado,,,,
Master Control Sheet de frota,Aeronave,Alta,DOPS,MGM 1.11,135/document_pack/24_master_control_sheet_de_frota.md,FRM-EXT-024,Controle técnico-operacional da aeronave,DISPATCH + MANUTENÇÃO,Drive/OPS/Aeronaves/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,11vU_1pYo7SB7fIvTB8SOYGro_AiLCgTNtf36PMylHT0,https://docs.google.com/document/d/11vU_1pYo7SB7fIvTB8SOYGro_AiLCgTNtf36PMylHT0/edit,"=HYPERLINK(""https://docs.google.com/document/d/11vU_1pYo7SB7fIvTB8SOYGro_AiLCgTNtf36PMylHT0/edit"",""Abrir"")",Não iniciado,,,,
Dossiê de entrada/saída de aeronave,Aeronave,Média,DOPS + GR,MGM 1.11,135/document_pack/25_dossi_de_entrada_sada_de_aeronave.md,FRM-EXT-025,Controle técnico-operacional da aeronave,DISPATCH + MANUTENÇÃO,Drive/OPS/Aeronaves/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1OUpJ6510I4MurkIa7w_TANPvvDdQDJoLZo2zJxqnPlI,https://docs.google.com/document/d/1OUpJ6510I4MurkIa7w_TANPvvDdQDJoLZo2zJxqnPlI/edit,"=HYPERLINK(""https://docs.google.com/document/d/1OUpJ6510I4MurkIa7w_TANPvvDdQDJoLZo2zJxqnPlI/edit"",""Abrir"")",Não iniciado,,,,
Registro de configuração e aeronavegabilidade,Aeronave,Alta,Manutenção,"MGO 8.5, SOP 3, SOP 6",135/document_pack/26_registro_de_configurao_e_aeronavegabilidade.md,FRM-EXT-026,Controle técnico-operacional da aeronave,DISPATCH + MANUTENÇÃO,Drive/OPS/Aeronaves/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1bPIWIOny7HbwIWitH89WV3tQUclIn4Fjt09_6LHOMxo,https://docs.google.com/document/d/1bPIWIOny7HbwIWitH89WV3tQUclIn4Fjt09_6LHOMxo/edit,"=HYPERLINK(""https://docs.google.com/document/d/1bPIWIOny7HbwIWitH89WV3tQUclIn4Fjt09_6LHOMxo/edit"",""Abrir"")",Não iniciado,,,,
Ficha de pesagem vigente,Aeronave,Alta,Manutenção,"MGO 8.5, MGO 8.6",135/document_pack/27_ficha_de_pesagem_vigente.md,FRM-EXT-027,Controle técnico-operacional da aeronave,DISPATCH + MANUTENÇÃO,Drive/OPS/Aeronaves/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1kQotA0LXU6ufrl4rfLZBRYVjg6L2hk7bfnv6LhxgARw,https://docs.google.com/document/d/1kQotA0LXU6ufrl4rfLZBRYVjg6L2hk7bfnv6LhxgARw/edit,"=HYPERLINK(""https://docs.google.com/document/d/1kQotA0LXU6ufrl4rfLZBRYVjg6L2hk7bfnv6LhxgARw/edit"",""Abrir"")",Não iniciado,,,,
Formulário de peso e balanceamento,Aeronave,Alta,PIC,"SOP 6.3.1, MGO 8.3, Anexo 13-B",135/document_pack/28_formulrio_de_peso_e_balanceamento.md,FRM-EXT-028,Controle técnico-operacional da aeronave,PILOTO + DISPATCH + BASE,Drive/OPS/Formularios_Vigentes + copia a bordo (quando aplicável),"Drive/OPS/Arquivo_Morto + Base (via física, se aplicável)",60 meses,1zmx8a2FOY9IoyIcg48HBzNKUZKb3mrp-M2_KwCVmIE4,https://docs.google.com/document/d/1zmx8a2FOY9IoyIcg48HBzNKUZKb3mrp-M2_KwCVmIE4/edit,"=HYPERLINK(""https://docs.google.com/document/d/1zmx8a2FOY9IoyIcg48HBzNKUZKb3mrp-M2_KwCVmIE4/edit"",""Abrir"")",Não iniciado,,,,
Manifesto de carga,Aeronave,Alta,PIC + Base,"MGO 8.3, MGO 8.6, Anexo 13-B",135/document_pack/29_manifesto_de_carga.md,FRM-EXT-029,Controle técnico-operacional da aeronave,PILOTO + DISPATCH + BASE,Drive/OPS/Formularios_Vigentes + copia a bordo (quando aplicável),"Drive/OPS/Arquivo_Morto + Base (via física, se aplicável)",60 meses,1yul_XrvVWRnV3mdF92YqE6vIbjexcrxleRT9Y2Hl28U,https://docs.google.com/document/d/1yul_XrvVWRnV3mdF92YqE6vIbjexcrxleRT9Y2Hl28U/edit,"=HYPERLINK(""https://docs.google.com/document/d/1yul_XrvVWRnV3mdF92YqE6vIbjexcrxleRT9Y2Hl28U/edit"",""Abrir"")",Não iniciado,,,,
Biblioteca técnica AFM/POH e suplementos,Aeronave,Alta,DOPS + Manutenção,"MGO 1.3, SOP 1.3, SOP 4.3",135/document_pack/30_biblioteca_tcnica_afm_poh_e_suplementos.md,FRM-EXT-030,Controle técnico-operacional da aeronave,PILOTO + DISPATCH + BASE,Drive/OPS/Formularios_Vigentes + copia a bordo (quando aplicável),"Drive/OPS/Arquivo_Morto + Base (via física, se aplicável)",36 meses,1lIQfr3lGNMHpB2aNGPagngKNW9wqPDC0LFhJJYhw80w,https://docs.google.com/document/d/1lIQfr3lGNMHpB2aNGPagngKNW9wqPDC0LFhJJYhw80w/edit,"=HYPERLINK(""https://docs.google.com/document/d/1lIQfr3lGNMHpB2aNGPagngKNW9wqPDC0LFhJJYhw80w/edit"",""Abrir"")",Não iniciado,,,,
Registro de STCs e modificações,Aeronave,Alta,Manutenção,"MGO 1.3, MGM 1.10, SOP 4.3",135/document_pack/31_registro_de_stcs_e_modificaes.md,FRM-EXT-031,Controle técnico-operacional da aeronave,DISPATCH + MANUTENÇÃO,Drive/OPS/Aeronaves/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1jaSgdzsSOt717hUlgVVLhujC8fVAxblkt_nwxyYKm5Q,https://docs.google.com/document/d/1jaSgdzsSOt717hUlgVVLhujC8fVAxblkt_nwxyYKm5Q/edit,"=HYPERLINK(""https://docs.google.com/document/d/1jaSgdzsSOt717hUlgVVLhujC8fVAxblkt_nwxyYKm5Q/edit"",""Abrir"")",Não iniciado,,,,
"Controle de ICAs, SB e AD por aeronave",Aeronave,Alta,OM 145 + Coord. interno,"MGM 1.10, MGM 1.11",135/document_pack/32_controle_de_icas_sb_e_ad_por_aeronave.md,FRM-EXT-032,Controle técnico-operacional da aeronave,DISPATCH + MANUTENÇÃO,Drive/OPS/Aeronaves/Formularios_Vigentes,Drive/SGQ/Arquivo_Morto + backup NAS_SGQ,36 meses,1ve3RzQJC5M-N8F_h5xM4D_UFv-houAyoo_ffBRh9fA0,https://docs.google.com/document/d/1ve3RzQJC5M-N8F_h5xM4D_UFv-houAyoo_ffBRh9fA0/edit,"=HYPERLINK(""https://docs.google.com/document/d/1ve3RzQJC5M-N8F_h5xM4D_UFv-houAyoo_ffBRh9fA0/edit"",""Abrir"")",Não iniciado,,,,
Cadastro de prestadores contratados (OM 145 e fornecedores),Manutenção,Alta,GR + DOPS,"SOP 1.6.1, MGM 1.8, MGM 2.2",135/document_pack/33_cadastro_de_prestadores_contratados.md,FRM-EXT-033,Rastreabilidade de manutenção e aeronavegabilidade,MANUTENÇÃO + GESTÃO,Drive/MNT/Controle_Tecnico/Formularios_Vigentes,Drive/MNT/Arquivo_Morto + backup NAS_MNT + pasta física OM145,36 meses,12bP-TXNeUkGhTgeyuq7I9IEXaGO2-s5r84sjFQaFQzc,https://docs.google.com/document/d/12bP-TXNeUkGhTgeyuq7I9IEXaGO2-s5r84sjFQaFQzc/edit,"=HYPERLINK(""https://docs.google.com/document/d/12bP-TXNeUkGhTgeyuq7I9IEXaGO2-s5r84sjFQaFQzc/edit"",""Abrir"")",Não iniciado,,,,
Contratos de manutenção e SLAs,Manutenção,Alta,GR,"MGM 1.4.1, MGM 1.10",135/document_pack/34_contratos_de_manuteno_e_slas.md,FRM-EXT-034,Rastreabilidade de manutenção e aeronavegabilidade,MANUTENÇÃO + GESTÃO,Drive/MNT/Controle_Tecnico/Formularios_Vigentes,Drive/MNT/Arquivo_Morto + backup NAS_MNT + pasta física OM145,60 meses após término contratual,1wlrfQSiS6VUudceyeC0FzZEdN3-WbrHOu9JknfrFkcE,https://docs.google.com/document/d/1wlrfQSiS6VUudceyeC0FzZEdN3-WbrHOu9JknfrFkcE/edit,"=HYPERLINK(""https://docs.google.com/document/d/1wlrfQSiS6VUudceyeC0FzZEdN3-WbrHOu9JknfrFkcE/edit"",""Abrir"")",Não iniciado,,,,
Matriz de inspeções periódicas,Manutenção,Alta,Manutenção,"MGM 1.3, MGM 1.9",135/document_pack/35_matriz_de_inspees_peridicas.md,FRM-EXT-035,Rastreabilidade de manutenção e aeronavegabilidade,MANUTENÇÃO + GESTÃO,Drive/MNT/Controle_Tecnico/Formularios_Vigentes,Drive/MNT/Arquivo_Morto + backup NAS_MNT + pasta física OM145,36 meses,16vx5Nl0jHULrAYEc_B-XZKCum81I-7wFiOcZNk7CLhw,https://docs.google.com/document/d/16vx5Nl0jHULrAYEc_B-XZKCum81I-7wFiOcZNk7CLhw/edit,"=HYPERLINK(""https://docs.google.com/document/d/16vx5Nl0jHULrAYEc_B-XZKCum81I-7wFiOcZNk7CLhw/edit"",""Abrir"")",Não iniciado,,,,
Plano de manutenção controlado,Manutenção,Alta,Manutenção,"MGM 1.3, MGM 1.7, MGM 1.9",135/document_pack/36_plano_de_manuteno_controlado.md,FRM-EXT-036,Rastreabilidade de manutenção e aeronavegabilidade,MANUTENÇÃO + GESTÃO,Drive/MNT/Controle_Tecnico/Formularios_Vigentes,Drive/MNT/Arquivo_Morto + backup NAS_MNT + pasta física OM145,36 meses,1ZZJFFaJcMt37bJIxgK82btckKQB3beYzNAdeUl7Yrq0,https://docs.google.com/document/d/1ZZJFFaJcMt37bJIxgK82btckKQB3beYzNAdeUl7Yrq0/edit,"=HYPERLINK(""https://docs.google.com/document/d/1ZZJFFaJcMt37bJIxgK82btckKQB3beYzNAdeUl7Yrq0/edit"",""Abrir"")",Não iniciado,,,,
